"X" "Y" "typename"
"1" 1766.4 283.42 "Astrocytes"
"2" 1891.4 348.38 "Interneuron"
"3" 1548.7 351.11 "Interneuron"
"4" 1657.6 357.37 "Neuroblast"
"5" 1767.4 392.22 "Interneuron"
"6" 1707.3 403.38 "Oligodendrocytes"
"7" 1526.5 425.07 "Interneuron"
"8" 1757.1 484.11 "Astrocytes"
"9" 1611.7 547.64 "Mitral/Tuftedcells"
"10" 1471.1 586.12 "Neuroblast"
"11" 1838.3 582.7 "Mitral/Tuftedcells"
"12" 1543.9 592.4 "Astrocytes"
"13" 1432.8 620.14 "Astrocytes"
"14" 1626.7 653.44 "Interneuron"
"15" 1554.9 671.15 "Interneuron"
"16" 1403.3 677.09 "Neuroblast"
"17" 1460.8 681.74 "Neuroblast"
"18" 1799.7 690.43 "Endothelial"
"19" 1969.3 692.7 "Mitral/Tuftedcells"
"20" 1110.5 699.4 "Astrocytes"
"21" 1681.4 704.03 "Mitral/Tuftedcells"
"22" 1856.9 732.96 "Interneuron"
"23" 1615.6 745.09 "Mitral/Tuftedcells"
"24" 1925.9 745.16 "Astrocytes"
"25" 1446.1 771.05 "Interneuron"
"26" 1600.1 836.35 "Interneuron"
"27" 1438.7 881.04 "Endothelial"
"28" 1374.4 941.94 "Endothelial"
"29" 791.44 974.23 "Olfactoryensheathingcells"
"30" 1075.6 979.84 "Interneuron"
"31" 975.32 996.81 "Endothelial"
"32" 949.5 1013.4 "Endothelial"
"33" 694.45 1108.8 "Olfactoryensheathingcells"
"34" 518.19 1296.4 "Astrocytes"
"35" 395.16 1312.3 "Microglia"
"36" 467.86 1321.6 "Astrocytes"
"37" 763.74 1330.3 "Olfactoryensheathingcells"
"38" 822.08 1371.4 "Microglia"
"39" 903.78 1380.4 "Pia"
"40" 756.95 1380.9 "Pia"
"41" 991.48 1379.8 "Pia"
"42" 702.17 1381.9 "Pia"
"43" 1059.3 1420.1 "Pia"
"44" 663.65 1426.7 "Microglia"
"45" 1159.4 1426.2 "Pia"
"46" 740.12 1442.8 "Pia"
"47" 587.58 1480.9 "Pia"
"48" 861.64 1486.9 "Pia"
"49" 692.74 1492.7 "Pia"
"50" 794.85 1501.6 "Endothelial"
"51" 650.79 1512.1 "Pia"
"52" 1864 1519.6 "Pia"
"53" 1774.3 1522.1 "Pia"
"54" 590.35 1530.1 "Pia"
"55" 1630.1 1536.3 "Pia"
"56" 856.1 1557.1 "Olfactoryensheathingcells"
"57" 1700.7 1567.9 "Pia"
"58" 1576.9 1571.6 "Endothelial"
"59" 1812.5 1585.1 "Pia"
"60" 1650.8 1586.8 "Endothelial"
"61" 1513.5 1602.1 "Olfactoryensheathingcells"
"62" 1766.1 1613.7 "Olfactoryensheathingcells"
"63" 1430.9 1626 "Olfactoryensheathingcells"
"64" 1692.6 1645.2 "Endothelial"
