"ligand_gene_symbol" "receptor_gene_symbol"
"1" "Wnt3" "Fzd6"
"2" "Wnt3" "Egfr"
"3" "Wnt3" "Fzd2"
"4" "Wnt3" "Lrp5"
"5" "Wnt3" "Fzd1"
"6" "Wnt3" "Fzd3"
"7" "Wnt3" "Fzd8"
"8" "Wnt3" "Ror1"
"9" "Wnt3" "Lrp6"
"10" "Wnt3" "Ror2"
"11" "Wnt3" "Fzd5"
"12" "Wnt3" "Fzd7"
"13" "Wnt9a" "Egfr"
"14" "Wnt9a" "Fzd9"
"15" "Wnt9a" "Fzd4"
"16" "Wnt9a" "Fzd7"
"17" "Fgf23" "Fgfr1"
"18" "Fgf23" "Fgfr4"
"19" "Fgf23" "Fgfr2"
"20" "Fgf23" "Fgfr3"
"21" "Fgf23" "Kl"
"22" "Fgf6" "Fgfr1"
"23" "Fgf6" "Fgfr4"
"24" "Fgf6" "Fgfr2"
"25" "Fgf6" "Fgfr3"
"26" "Ccl2" "Ccr4"
"27" "Ccl2" "Ccr2"
"28" "Ccl2" "Ackr1"
"29" "Ccl2" "Ackr2"
"30" "Ccl12" "Ccr4"
"31" "Ccl12" "Ccr2"
"32" "Cdh1" "Itgb7"
"33" "Cdh1" "Egfr"
"34" "Cdh1" "Fgfr1"
"35" "Cdh1" "Ptprj"
"36" "Cdh1" "Itgae"
"37" "Cdh1" "Ptprm"
"38" "Cdh1" "Igf1r"
"39" "Cdh1" "Klrg1"
"40" "Ccl11" "Ccr2"
"41" "Ccl11" "Ccr5"
"42" "Ccl11" "Ackr2"
"43" "Ccl11" "Cxcr3"
"44" "Ccl11" "Ccr3"
"45" "Ccl11" "Ackr4"
"46" "Pdgfb" "Lrp1"
"47" "Pdgfb" "Pdgfra"
"48" "Pdgfb" "Pdgfrb"
"49" "Fasl" "Fas"
"50" "Il4" "Il4ra"
"51" "Il4" "Il2ra"
"52" "Il4" "Tlr2"
"53" "Il4" "Il2rg"
"54" "Il4" "Il13ra1"
"55" "Il4" "Il13ra2"
"56" "Ccl3" "Ccr1"
"57" "Ccl3" "Ccr5"
"58" "Ccl3" "Ackr2"
"59" "Ccl3" "Ccr3"
"60" "Icam4" "Itgav"
"61" "Icam4" "Itgam"
"62" "S100a4" "Egfr"
"63" "S100a4" "Erbb2"
"64" "Icam2" "Itgal"
"65" "Icam2" "Itgam"
"66" "Efnb2" "Ephb2"
"67" "Efnb2" "Epha3"
"68" "Efnb2" "Epha4"
"69" "Efnb2" "Ephb3"
"70" "Efnb2" "Epha7"
"71" "Efnb2" "Ephb4"
"72" "Efnb2" "Epha6"
"73" "Efnb2" "Ephb6"
"74" "Efnb2" "Ephb1"
"75" "Sost" "Lrp6"
"76" "Sost" "Lrp5"
"77" "Col1a1" "Itgb1"
"78" "Col1a1" "Cd44"
"79" "Col1a1" "Cd93"
"80" "Il16" "Grin2c"
"81" "Il16" "Kcnj4"
"82" "Il16" "Grin2d"
"83" "Il16" "Kcna3"
"84" "Il16" "Kcnd2"
"85" "Il16" "Kcnj15"
"86" "Il16" "Kcnd1"
"87" "Il16" "Cd4"
"88" "Il16" "Kcnj10"
"89" "Angptl4" "Gpihbp1"
"90" "Bmp8b" "Acvr2b"
"91" "Bmp8b" "Bmpr1b"
"92" "Bmp8b" "Acvr2a"
"93" "Bmp8b" "Tgfbr2"
"94" "Bmp8b" "Bmpr2"
"95" "Bmp8b" "Bmpr1a"
"96" "Tgfb1" "Tgfbr1"
"97" "Tgfb1" "Itgb1"
"98" "Tgfb1" "Eng"
"99" "Tgfb1" "Sdc2"
"100" "Tgfb1" "Tgfbr3"
"101" "Tgfb1" "Tgfbr2"
"102" "Tgfb1" "Itgb8"
"103" "Shh" "Cdon"
"104" "Shh" "Pvr"
"105" "Shh" "Ptch1"
"106" "Shh" "Lrp2"
"107" "Shh" "Hhip"
"108" "Shh" "Gpc1"
"109" "Shh" "Gpc6"
"110" "Shh" "Cav1"
"111" "Shh" "Gas1"
"112" "Shh" "Ptch2"
"113" "Pspn" "Gfra4"
"114" "Pspn" "Ret"
"115" "Lamb1" "Itga6"
"116" "Lamb1" "Itgb1"
"117" "Efna2" "Epha10"
"118" "Efna2" "Epha3"
"119" "Efna2" "Epha4"
"120" "Efna2" "Epha7"
"121" "Efna2" "Epha6"
"122" "Efna2" "Epha8"
"123" "Efna2" "Epha1"
"124" "Efna2" "Epha2"
"125" "Efna2" "Epha5"
"126" "Ebi3" "Il6st"
"127" "Ebi3" "Il27ra"
"128" "Comp" "Itgav"
"129" "Comp" "Notch1"
"130" "Comp" "Notch3"
"131" "Comp" "Cd47"
"132" "Comp" "Itga7"
"133" "Comp" "Cd36"
"134" "Tgfb3" "Acvr1"
"135" "Tgfb3" "Tgfbr1"
"136" "Tgfb3" "Eng"
"137" "Tgfb3" "Tgfbr3"
"138" "Tgfb3" "Tgfbr2"
"139" "Gdf15" "Egfr"
"140" "Gdf15" "Tgfbr1"
"141" "Gdf15" "Ret"
"142" "Gdf15" "Tgfbr2"
"143" "Gdf15" "Gfral"
"144" "Calr" "Scarf1"
"145" "Calr" "Lrp1"
"146" "Calr" "Mpl"
"147" "Efnb3" "Ephb2"
"148" "Efnb3" "Epha4"
"149" "Efnb3" "Ephb3"
"150" "Efnb3" "Ephb6"
"151" "Efnb3" "Ephb1"
"152" "Sst" "Sstr3"
"153" "Sst" "Sstr2"
"154" "Sst" "Sstr4"
"155" "Sst" "Sstr5"
"156" "Sst" "Sstr1"
"157" "Pgf" "Flt1"
"158" "Pgf" "Nrp1"
"159" "Pgf" "Nrp2"
"160" "Pgf" "Egfr"
"161" "Ccl24" "Ccr2"
"162" "Ccl24" "Ackr2"
"163" "Ccl24" "Ccr3"
"164" "Zp3" "Egfr"
"165" "Zp3" "Zp3r"
"166" "Shbg" "Gprc6a"
"167" "App" "Cd74"
"168" "App" "Trpc6"
"169" "App" "Dcc"
"170" "App" "Lrp8"
"171" "App" "Sorcs1"
"172" "App" "Lrp4"
"173" "App" "Casr"
"174" "App" "Lrp2"
"175" "App" "Tspan12"
"176" "App" "Notch2"
"177" "App" "Lrp10"
"178" "App" "Gpr3"
"179" "App" "Tspan15"
"180" "App" "Cd47"
"181" "App" "Fpr2"
"182" "App" "Tnfrsf21"
"183" "App" "Lrp1"
"184" "App" "Vldlr"
"185" "App" "Adra2a"
"186" "App" "Notch1"
"187" "App" "Lrp6"
"188" "App" "Cav1"
"189" "App" "Sorl1"
"190" "App" "Drd3"
"191" "Agrp" "Mc5r"
"192" "Agrp" "Mc3r"
"193" "Agrp" "Sdc3"
"194" "Tnfsf14" "Ltbr"
"195" "Tnfsf14" "Fas"
"196" "Tnfsf14" "Tnfrsf14"
"197" "Trh" "Trhr"
"198" "Prl7a2" "Prlr"
"199" "Prl8a9" "Prlr"
