"x" "y" "condition"
"1" -3306.6349 -3793.523 1
"2" -3301.42145 -3797.0735 1
"3" -3285.06485 -3826.7275 0
"4" -3040.45565 -3823.2935 1
"5" -3036.66265 -3804.036 1
"6" -3039.81085 -3819.208 1
"7" -3036.01785 -3799.9505 1
"8" -2999.83135 -3810.7035 1
"9" -2999.18655 -3806.618 1
"10" -2997.54165 -3800.059 1
"11" -3098.8019 -3955.8455 1
"12" -3089.61275 -3940.2135 1
"13" -3082.2056 -3970.634 0
"14" -3055.9166 -3960.8965 1
"15" -3015.9126 -4042.5715 0
"16" -3008.82415 -4038.664 0
"17" -3008.63375 -4042.685 0
"18" -3006.74155 -4035.764 0
"19" -3004.7178 -4037.4645 0
"20" -3000.88795 -4038.598 0
"21" -3000.76815 -4035.404 0
"22" -3000.294 -4021.158 1
"23" -2993.20555 -4017.2505 0
"24" -2993.01515 -4021.2715 1
"25" -2991.12295 -4014.3505 0
"26" -2989.0992 -4016.051 0
"27" -2985.26935 -4017.1845 0
"28" -2985.14955 -4013.9905 0
"29" -2994.6855 -4020.631 1
"30" -2987.59705 -4016.7235 1
"31" -2987.40665 -4020.7445 1
"32" -2985.51445 -4013.8235 1
"33" -2983.4907 -4015.524 1
"34" -2979.66085 -4016.6575 0
"35" -2979.54105 -4013.4635 0
"36" -2991.9891 -4037.159 1
"37" -2984.90065 -4033.2515 1
"38" -2984.71025 -4037.2725 1
"39" -2982.81805 -4030.3515 1
"40" -2980.7943 -4032.052 1
"41" -2976.96445 -4033.1855 0
"42" -2976.84465 -4029.9915 0
"43" -3068.4373 -3965.184 1
"44" -3014.7582 -4047.1585 0
"45" -2999.1396 -4025.745 1
"46" -2990.8347 -4041.746 1
"47" -3094.26025 -3972.455 0
"48" -2994.85345 -4037.0775 0
"49" -2979.23485 -4015.664 0
"50" -2973.62635 -4015.137 0
"51" -2970.92995 -4031.665 0
"52" -2985.00945 -4041.8125 0
"53" -2969.39085 -4020.399 0
"54" -2963.78235 -4019.872 0
"55" -2961.08595 -4036.4 0
"56" -2985.5048 -4014.0365 1
"57" -2985.3144 -4018.0575 1
"58" -2983.4222 -4011.1365 1
"59" -2981.39845 -4012.837 1
"60" -2977.5686 -4013.9705 1
"61" -2977.4488 -4010.7765 0
"62" -2971.5341 -4012.45 0
"63" -2961.6901 -4017.185 0
"64" -2964.78745 -4020.8915 1
"65" -2964.66765 -4017.6975 1
"66" -2958.75295 -4019.371 1
"67" -2948.90895 -4024.106 0
"68" -2953.9162 -4004.2375 0
"69" -2948.3077 -4003.7105 0
"70" -2945.6113 -4020.2385 0
"71" -2946.21545 -4001.0235 0
"72" -2933.4343 -4007.9445 0
"73" -2933.04245 -3973.129 1
"74" -2949.6028 -4012.51 1
"75" -2943.9943 -4011.983 0
"76" -2941.2979 -4028.511 0
"77" -2941.90205 -4009.296 0
"78" -2929.1209 -4016.217 0
"79" -2954.69285 -4008.7295 1
"80" -2944.84885 -4013.4645 1
"81" -2929.3742 -3997.303 0
"82" -2925.0608 -4005.5755 0
"83" -2958.99485 -3942.6505 1
"84" -2955.1447 -3941.19 0
"85" -2949.9372 -3942.0605 0
"86" -2942.08505 -3972.5695 1
"87" -2929.3039 -3979.4905 1
"88" -2928.91205 -3944.675 0
"89" -2925.2438 -3968.849 1
"90" -2928.80645 -3969.4595 1
"91" -2924.67605 -3941.0055 0
"92" -2923.9353 -3987.055 0
"93" -2919.6219 -3995.3275 1
"94" -2919.8049 -3958.601 0
"95" -2942.1278 -4006.6135 1
"96" -2936.5193 -4006.0865 1
"97" -2933.8229 -4022.6145 1
"98" -2934.42705 -4003.3995 1
"99" -2921.6459 -4010.3205 0
"100" -2921.25405 -3975.505 1
"101" -2917.5858 -3999.679 0
"102" -2917.01805 -3971.8355 1
"103" -2912.1469 -3989.431 0
"104" -2942.85155 -4012.6195 1
"105" -2937.24305 -4012.0925 1
"106" -2934.54665 -4028.6205 1
"107" -2935.1508 -4009.4055 1
"108" -2922.36965 -4016.3265 0
"109" -2918.30955 -4005.685 0
"110" -2912.87065 -3995.437 0
"111" -2935.2217 -4042.027 1
"112" -2919.74705 -4025.8655 1
"113" -2915.43365 -4034.138 0
"114" -2907.95865 -4028.2415 1
"115" -2908.6824 -4034.2475 0
"116" -2934.43815 -4038.3075 1
"117" -2918.9635 -4022.146 1
"118" -2914.6501 -4030.4185 0
"119" -2907.1751 -4024.522 0
"120" -2907.89885 -4030.528 0
"121" -2939.0039 -4003.756 1
"122" -2933.3954 -4003.229 1
"123" -2930.699 -4019.757 1
"124" -2931.30315 -4000.542 1
"125" -2918.522 -4007.463 0
"126" -2918.13015 -3972.6475 1
