"type1" "type2" "ID"
"1" "Neuroblast" "Astrocytes" 10377448
"2" "Neural progenitors" "Microglia" 30177874
"3" "Ependymal" "Neural progenitors" 30177874
"4" "Ependymal" "Neuroblast" 30177874
"5" "Ependymal" "Neural stem cell" 30177874
"6" "Interneuron" "Ependymal" 35450289
"7" "Neural stem cell" "Neural progenitors" 20844536
"8" "Neuroblast" "Neuroblast" 17883412
"9" "Neural stem cell" "Endothelial" 21253820
"10" "Interneuron" "Astrocytes" 23619383
"11" "OPC" "Neuroblast" 23671797
"12" "Microglia" "Neural stem cell" 25245208
"13" "Neural progenitors" "Astrocytes" 26528139
"14" "Neural progenitors" "Microglia" 26528139
"15" "Neural stem cell" "Endothelial" 28694515
"16" "Interneuron" "Interneuron" 30177874
"17" "Neural progenitors" "Neural progenitors" 30177874
"18" "Neural stem cell" "Interneuron" 30777863
"19" "Neural stem cell" "choroid plexus" 30777863
"20" "Neural stem cell" "Neural stem cell" 30777863
"21" "Neuroblast" "choroid plexus" 31064838
"22" "Endothelial" "Neural progenitors" 32502570
"23" "Neuroblast" "Oligodendrocytes" 36185360
"24" "Astrocytes" "Oligodendrocytes" 37291151
"25" "choroid plexus" "Astrocytes" 26174708
"26" "choroid plexus" "Interneuron" 26174708
"27" "choroid plexus" "choroid plexus" 26174708
"28"  "Ependymal" "Ependymal" 36415662
"29" "Oligodendrocytes" "OPC"  31770564
