"X" "Y" "typename"
"Cell 1" 1318.4 438.57 "Neural stem cell"
"Cell 2" 1266.6 443.21 "Neural stem cell"
"Cell 3" 874.55 685.41 "Neuroblast"
"Cell 4" 838.26 765 "Neural progenitors"
"Cell 5" 664.49 777.48 "Neural progenitors"
"Cell 6" 542.23 855.84 "Ependymal"
"Cell 7" 570.19 879.8 "Neuroblast"
"Cell 8" 614.6 902.81 "Neuroblast"
"Cell 9" 1846.1 960.08 "choroid plexus"
"Cell 10" 1359.5 968.53 "Neuroblast"
"Cell 11" 575.12 976.99 "Neuroblast"
"Cell 12" 1386.1 980.5 "Ependymal"
"Cell 13" 1333.2 987.57 "Neuroblast"
"Cell 14" 481.27 993.4 "Excitatory layer 5/6"
"Cell 15" 659.27 1007.2 "Neuroblast"
"Cell 16" 1532.6 1019.5 "Neural stem cell"
"Cell 17" 1864.6 1016.9 "choroid plexus"
"Cell 18" 640.93 1033.4 "Neural progenitors"
"Cell 19" 1304.6 1037.8 "Neuroblast"
"Cell 20" 601.66 1058.3 "Neural stem cell"
"Cell 21" 535.3 1057.4 "Neural stem cell"
"Cell 22" 701.94 1068 "Neural progenitors"
"Cell 23" 1249.3 1094.2 "Neural progenitors"
"Cell 24" 566.2 1106.4 "Neural stem cell"
"Cell 25" 1725.3 1105.9 "Neural progenitors"
"Cell 26" 949.75 1115.2 "Neuroblast"
"Cell 27" 619.76 1120.4 "Neural stem cell"
"Cell 28" 1559.4 1127.3 "Neural progenitors"
"Cell 29" 558.61 1164.3 "Neuroblast"
"Cell 30" 1626.3 1173.6 "Neural progenitors"
"Cell 31" 673.82 1178.8 "Neural progenitors"
"Cell 32" 1694.5 1179.3 "Neuroblast"
"Cell 33" 1492 1194.4 "Neuroblast"
"Cell 34" 706.85 1199.7 "Neuroblast"
"Cell 35" 1576.2 1207.5 "Neuroblast"
"Cell 36" 520.72 1211.9 "Neural stem cell"
"Cell 37" 581.5 1208.7 "Neural stem cell"
"Cell 38" 1394.3 1222.6 "Neuroblast"
"Cell 39" 1332.6 1226.4 "Neural progenitors"
"Cell 40" 1427.6 1256 "Neural stem cell"
"Cell 41" 1454.8 1283.7 "Neural progenitors"
"Cell 42" 821.13 1311.9 "Neuroblast"
"Cell 43" 1535.6 1336 "Oligodendrocytes"
"Cell 44" 1480.8 1356.5 "Astrocytes"
"Cell 45" 1565.8 1362.5 "Oligodendrocytes"
"Cell 46" 729.27 1374.3 "Oligodendrocytes"
"Cell 47" 832.75 1377.3 "Oligodendrocytes"
"Cell 48" 1008 1431.7 "Microglia"
"Cell 49" 1381.4 415.23 "Neural stem cell"
"Cell 50" 1350.5 425.35 "Excitatory layer 5/6"
"Cell 51" 1237.8 471.52 "Neural stem cell"
"Cell 52" 1282.8 472.81 "Neuroblast"
"Cell 53" 1341.3 175.17 "Interneuron"
"Cell 54" 1462.6 224.22 "Neural progenitors"
"Cell 55" 1640.8 252.21 "Ependymal"
"Cell 56" 1609.4 280.49 "Neural stem cell"
"Cell 57" 602.76 271.27 "Interneuron"
"Cell 58" 1291.3 288.34 "Interneuron"
"Cell 59" 1206.6 308.55 "Interneuron"
"Cell 60" 682.44 324.7 "Astrocytes"
"Cell 61" 1354.5 339.12 "Neuroblast"
"Cell 62" 917.27 355.88 "Endothelial"
"Cell 63" 1625.7 369.31 "Ependymal"
"Cell 64" 1286.1 406.16 "Neural stem cell"
"Cell 65" 560.14 427.05 "Interneuron"
"Cell 66" 782.55 463.51 "Astrocytes"
"Cell 67" 1033.2 507.38 "Microglia"
"Cell 68" 1845.2 511.95 "choroid plexus"
"Cell 69" 532.17 521.5 "Interneuron"
"Cell 70" 415.9 528.74 "Interneuron"
"Cell 71" 671.41 543.44 "Endothelial"
"Cell 72" 1416.1 556.32 "Neural stem cell"
"Cell 73" 789.24 564.4 "Interneuron"
"Cell 74" 1366 582.24 "Neural stem cell"
"Cell 75" 1822.7 601.59 "choroid plexus"
"Cell 76" 956.77 611.15 "Interneuron"
